bill_id,version_type,url
HJRES88-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres88ih/xml/BILLS-115hjres88ih.xml
HJRES89-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres89ih/xml/BILLS-115hjres89ih.xml
HJRES9-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres9ih/xml/BILLS-115hjres9ih.xml
HJRES90-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres90ih/xml/BILLS-115hjres90ih.xml
HJRES91-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres91ih/xml/BILLS-115hjres91ih.xml
HJRES92-115,Referred in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres92rfs/xml/BILLS-115hjres92rfs.xml
HJRES92-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres92eh/xml/BILLS-115hjres92eh.xml
HJRES92-115,Reported in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres92rh/xml/BILLS-115hjres92rh.xml
HJRES92-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres92ih/xml/BILLS-115hjres92ih.xml
HJRES93-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres93ih/xml/BILLS-115hjres93ih.xml
HJRES94-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres94ih/xml/BILLS-115hjres94ih.xml
HJRES95-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres95ih/xml/BILLS-115hjres95ih.xml
HJRES96-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres96ih/xml/BILLS-115hjres96ih.xml
HJRES97-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres97ih/xml/BILLS-115hjres97ih.xml
HJRES98-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres98ih/xml/BILLS-115hjres98ih.xml
HJRES99-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres99enr/xml/BILLS-115hjres99enr.xml
HJRES99-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres99rds/xml/BILLS-115hjres99rds.xml
HJRES99-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres99eh/xml/BILLS-115hjres99eh.xml
HJRES99-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres99ih/xml/BILLS-115hjres99ih.xml
HR1-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hr1enr/xml/BILLS-115hr1enr.xml
HR1-115,Engrossed Amendment Senate,https://www.govinfo.gov/content/pkg/BILLS-115hr1eas2/xml/BILLS-115hr1eas2.xml
HR1-115,Engrossed Amendment Senate,https://www.govinfo.gov/content/pkg/BILLS-115hr1eas/xml/BILLS-115hr1eas.xml
