bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
G000572,N00033541,"Gallego, Pete",2012,,D, ,,2012,1802829.59,1767937.79,34891.8,89147.1
P000607,N00033549,"Pocan, Mark",2012,,D, ,,2012,1143296.01,1090359.91,52936.1,2000
P000608,N00033591,"Peters, Scott",2012,,D, ,,2012,4381438.01,4352737.01,28701,276416.59
B001280,N00033625,"Bentivolio, Kerry",2012,,R, ,,2012,485728.74,482218.85,3509.89,214359.43
H001067,N00033630,"Hudson, Richard",2012,,R, ,,2012,1518468.91,1443063.81,75405.1,103751.23
M001187,N00033631,"Meadows, Mark R",2012,,R, ,,2012,1107283.51,1092849.79,14433.72,249000
H001066,N00033638,"Horsford, Steven",2012,,D, ,,2012,1718991.26,1705209.95,13781.31,99131.64
J000294,N00033640,"Jeffries, Hakeem",2012,,D, ,,2012,1405684.57,1361036.78,44651.29,0
A000372,N00033720,"Allen, Richard W",2012,,R, ,,2012,1127432.93,1117735.08,9697.85,520000
B001294,N00033744,"Blum, Rod",2012,,R, ,,2012,93493.72,93493.72,0,0
H001069,N00033782,"Heitkamp, Heidi",2012,,D, ,,2012,5638438,5493544,144895,115505
M001195,N00033814,"Mooney, Alex",2012,,R, ,,2012,115447.51,78207.69,37239.82,0
R000597,N00033832,"Rice, Tom",2012,,R, ,,2012,1428114.25,1321360.17,106754.08,69500
L000584,N00033842,"Love, Mia",2012,,R, ,,2012,2505284.25,2370443.71,134840.54,0
D000620,N00033897,"Delaney, John K",2012,,D, ,,2012,4426868.46,4423738.07,3130.39,638675.42
B001281,N00033904,"Beatty, Joyce",2012,,D, ,,2012,812493.22,729106.57,83386.65,36000
B001279,N00033981,"Barber, Ron",2012,AZ,D,H,2012,2012,2776638.85,2690570.19,86068.66,0
M001197,N00033982,"McSally, Martha",2012,,R, ,,2012,1458135.63,1438089.51,20380.37,0
L000578,N00033987,"LaMalfa, Doug",2012,,R, ,,2012,872995.42,775941.69,97053.73,171305.05
A000371,N00033997,"Aguilar, Pete",2012,,D, ,,2012,461843.28,442194.83,19648.45,1025.25
R000596,N00034017,"Radel, Trey",2012,,R, ,,2012,1068123.35,946371.36,121751.99,206000
M001184,N00034041,"Massie, Thomas",2012,KY,R, ,2012,2012,1064631.49,941562.38,123069.11,80000
K000379,N00034044,"Kennedy, Joe III",2012,,D, ,,2012,4204049.8,3869295.43,334754.37,0
L000581,N00034068,"Lawrence, Brenda",2012,,D, ,,2012,134989.84,134989.84,0,0
P000605,N00034120,"Perry, Scott",2012,,R, ,,2012,519958.01,519610.17,347.84,16096.14
C001090,N00034128,"Cartwright, Matt",2012,,D, ,,2012,1361753.07,1304273.84,57479.23,435865.49
C001094,N00034224,"Cook, Paul",2012,,R, ,,2012,590514.28,564481.44,26032.84,32323.65
B001285,N00034254,"Brownley, Julia",2012,,D, ,,2012,2155827.82,2106885.83,49984.85,41671.41
M001185,N00034277,"Maloney, Sean Patrick",2012,,D, ,,2012,2257170.87,2246008.2,11162.67,65974.46
P000606,N00034416,"Pittenger, Robert",2012,,R, ,,2012,3310422.15,3307263.74,3158.41,719940.54
K000381,N00034453,"Kilmer, Derek",2012,,D, ,,2012,1873136.18,1706202.03,166934.15,0
M001188,N00034547,"Meng, Grace",2012,,D, ,,2012,1730611.33,1666012.14,64599.19,100973
E000297,N00034549,"Espaillat, Adriano",2012,,D, ,,2012,396349.75,328189.42,67160.33,1500
K000383,N00034580,"King, Angus",2012,,I, ,,2012,2926581,2850780,75802,20000
P000611,N00034584,"Poliquin, Bruce",2012,,R, ,,2012,321763,320384,1378,0
P000604,N00034639,"Payne, Donald M Jr",2012,NJ,D, ,2012,2012,553326.68,524654.02,28672.66,0
D000621,N00034746,"DeSantis, Ron",2012,,R, ,,2012,1145858.58,1122041.88,23816.7,0
D000619,N00034784,"Davis, Rodney",2012,,R, ,,2012,1400450.64,1383023.66,17426.98,59000
